ev,evGol,dep,depGol
BESIKTAS,5,ELAZIĞSPOR,3
ADANASPOR A.Ş.,2,GENÇLERBİRLİĞİ,2
DİYARBAKIRSPOR,3,BESIKTAS,1
GAZİANTEPSPOR,1,SAMSUNSPOR,0
KONYASPOR,4,ADANASPOR A.Ş.,1
GALATASARAY,1,RIZESPOR,2
GENÇLERBİRLİĞİ,3,A.SEBATSPOR,1
ISTANBULSPOR,0,MALATYASPOR,0
TRABZONSPOR,1,DENİZLİSPOR,0
ELAZIĞSPOR,1,ANKARAGUCU,2
FENERBAHCE,3,BURSASPOR,1
SAMSUNSPOR,1,GALATASARAY,0
ANKARAGUCU,3,DİYARBAKIRSPOR,1
DENİZLİSPOR,3,ELAZIĞSPOR,0
BURSASPOR,1,ISTANBULSPOR,1
A.SEBATSPOR,1,KONYASPOR,1
