macNo,ev,evGol,dep,depGol
475,ADANASPOR A.Ş.,1,ISTANBULSPOR,1
476,BURSASPOR,0,BESIKTAS,1
477,FENERBAHCE,3,TRABZONSPOR,1
478,ANKARAGUCU,1,BESIKTAS,1
479,MALATYASPOR,0,RIZESPOR,1
480,DENİZLİSPOR,1,SAMSUNSPOR,0
481,DİYARBAKIRSPOR,1,KONYASPOR,1
482,ELAZIĞSPOR,0,FENERBAHCE,1
483,GAZIANTEPFK,2,GENÇLERBİRLİĞİ,0
484,ISTANBULSPOR,1,A.SEBATSPOR,3
485,TRABZONSPOR,2,ADANASPOR A.Ş.,1
486,GALATASARAY,0,BURSASPOR,0
487,SAMSUNSPOR,1,MALATYASPOR,0
488,ADANASPOR A.Ş.,1,ELAZIĞSPOR,2
489,A.SEBATSPOR,0,TRABZONSPOR,0
490,KONYASPOR,0,GAZIANTEPFK,3
491,BESIKTAS,3,DENİZLİSPOR,1
492,BURSASPOR,1,ANKARAGUCU,0
493,GENÇLERBİRLİĞİ,2,GALATASARAY,2
494,FENERBAHCE,2,DİYARBAKIRSPOR,2
495,RIZESPOR,1,ISTANBULSPOR,0
496,GENÇLERBİRLİĞİ,2,BURSASPOR,0
497,MALATYASPOR,0,BESIKTAS,0
498,GALATASARAY,2,KONYASPOR,1
499,ISTANBULSPOR,0,SAMSUNSPOR,0
500,DENİZLİSPOR,0,ANKARAGUCU,1
501,DİYARBAKIRSPOR,3,ADANASPOR A.Ş.,1
502,TRABZONSPOR,1,RIZESPOR,0
503,GAZIANTEPFK,1,FENERBAHCE,5
504,ELAZIĞSPOR,3,A.SEBATSPOR,1
505,ANKARAGUCU,0,MALATYASPOR,0
506,BURSASPOR,0,DENİZLİSPOR,1
507,ADANASPOR A.Ş.,2,GAZIANTEPFK,3
508,RIZESPOR,5,ELAZIĞSPOR,4
